,종목명,가격정보,거래량
0,KODEX 200선물인버스2X,"3,390","111,429,995"
1,KODEX 코스닥150선물인버스,"5,265","31,476,157"
2,SH에너지화학,"1,050","25,138,766"
3,현대약품,"6,360","19,328,242"
4,KODEX 인버스,"5,075","18,900,748"
5,KODEX 레버리지,"13,960","17,072,031"
6,국동,"2,090","11,496,619"
7,GS글로벌,"3,505","9,978,498"
8,KODEX 코스닥150레버리지,"7,845","9,411,020"
9,아남전자,"2,500","9,193,725"
10,TIGER 차이나전기차SOLACTIVE,"16,595","7,812,655"
11,일동제약,"41,350","7,334,207"
12,삼성 인버스 2X WTI원유 선물 ETN,120,"6,899,250"
13,대한전선,"1,765","6,079,904"
14,TIGER 200선물인버스2X,"3,550","5,998,306"
15,삼성전자,"58,200","5,947,957"
16,사조동아원,"1,520","4,156,077"
17,쌍방울,548,"3,445,332"
18,삼부토건,"2,180","3,440,602"
19,고려산업,"6,750","3,378,040"
20,까뮤이앤씨,"2,240","3,256,302"
21,DB하이텍,"41,800","2,838,309"
22,대성에너지,"11,400","2,715,901"
23,신한 인버스 2X 천연가스 선물 ETN,355,"2,424,284"
24,TRUE 인버스 2X 천연가스 선물 ETN(H),645,"2,394,990"
25,KODEX 코스닥150,"10,600","2,303,047"
26,부산주공,823,"2,250,345"
27,후성,"16,100","2,210,885"
28,삼성중공업,"5,360","2,111,131"
29,KODEX 200,"30,535","2,054,294"
30,NPC,"9,050","2,047,798"
31,두산에너빌리티,"17,950","1,960,861"
32,에이프로젠 MED,"1,605","1,913,130"
33,팬오션,"5,200","1,829,558"
34,KODEX WTI원유선물인버스(H),"4,320","1,644,830"
35,KBSTAR KIS단기종합채권(AA-이상)액티브,"100,790","1,616,444"
36,LG디스플레이,"14,550","1,603,653"
37,KEC,"2,505","1,527,918"
38,일동홀딩스,"31,850","1,496,733"
39,국제약품,"5,920","1,488,252"
40,서울식품,251,"1,431,555"
41,신한 인버스 2X WTI원유 선물 ETN(H),110,"1,354,809"
42,신일전자,"2,075","1,346,988"
43,TYM,"2,390","1,326,230"
44,SK하이닉스,"93,000","1,274,506"
45,대한제당,"3,270","1,223,491"
46,SK바이오사이언스,"146,500","1,182,489"
47,대원화성,"2,815","1,151,419"
48,TIGER 원유선물인버스(H),"3,005","1,120,406"
49,와이투솔루션,762,"1,109,858"
50,대한항공,"23,500","1,088,655"
51,KODEX 은행,"5,910","1,085,260"
52,써니전자,"2,695","1,044,038"
53,한창,908,"1,032,824"
54,대호에이엘,"2,360","998,634"
55,HMM,"23,550","970,825"
56,부광약품,"8,920","945,798"
57,KODEX 2차전지산업,"16,695","932,805"
58,광명전기,"2,965","924,190"
59,하나금융지주,"35,850","896,612"
60,미래에셋증권,"6,140","894,214"
61,일진홀딩스,"6,380","874,747"
62,에스디바이오센서,"48,300","855,688"
63,우리금융지주,"11,350","855,538"
64,한신기계,"8,820","853,923"
65,대성산업,"5,070","846,101"
66,TIGER 2차전지테마,"16,830","833,076"
67,한국토지신탁,"1,605","814,835"
68,카카오뱅크,"29,900","797,413"
69,SG세계물산,541,"781,753"
70,진흥기업,"1,615","776,283"
71,TIGER 코스닥150선물인버스,"5,385","769,025"
72,신성이엔지,"1,830","765,787"
73,TIGER KEDI혁신기업ESG30,"8,685","753,970"
74,수산중공업,"3,000","739,797"
75,동양철관,"1,055","731,386"
76,카카오,"69,700","713,979"
77,진원생명과학,"11,650","691,519"
78,KODEX 미국달러선물인버스2X,"7,125","688,220"
79,신한 인버스 2X 천연가스 선물 ETN(H),215,"687,539"
80,신송홀딩스,"11,850","686,797"
81,대원제약,"18,900","666,404"
82,삼성 블룸버그 인버스 2X WTI원유 선물 ETN,"17,290","656,572"
83,한화투자증권,"3,025","656,266"
84,대한해운,"2,325","645,956"
85,KG스틸,"12,300","640,641"
86,남선알미늄,"2,060","640,238"
87,기아,"78,200","631,887"
88,제이알글로벌리츠,"4,370","629,074"
89,한화생명,"2,095","610,988"
90,TIGER 인버스,"5,655","608,449"
91,한국항공우주,"47,900","601,860"
92,이연제약,"26,050","601,804"
93,TIGER 미국필라델피아반도체나스닥,"8,920","593,631"
94,신풍제약,"25,900","587,001"
95,신한지주,"35,600","585,758"
96,QV 인버스 레버리지 WTI원유 선물 ETN(H),100,"577,278"
97,에어부산,"1,360","572,037"
98,모나미,"3,635","548,194"
99,SK증권,712,"540,541"
